"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 08 21:42:07 IST 2020","Sun Nov 08 21:42:12 IST 2020","5204","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Interior and select ""interior stlye""","When I select Interior and select ""interior stlye""",""
"passed","Sun Nov 08 21:42:12 IST 2020","Sun Nov 08 21:42:18 IST 2020","5700","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Exterior styling and click on Continue to Packages","When I select Exterior styling and click on Continue to Packages",""
"passed","Sun Nov 08 21:50:38 IST 2020","Sun Nov 08 21:50:45 IST 2020","7444","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Shop"" to buy car","When I select ""Shop"" to buy car",""
"broken","Sun Nov 08 21:50:53 IST 2020","Sun Nov 08 21:50:56 IST 2020","2844","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Wheels and select ""wheel type""","When I select Wheels and select ""wheel type""",""
"passed","Sun Nov 08 21:41:47 IST 2020","Sun Nov 08 21:41:55 IST 2020","8270","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Shop"" to buy car","When I select ""Shop"" to buy car",""
"passed","Sun Nov 08 21:40:46 IST 2020","Sun Nov 08 21:40:52 IST 2020","6140","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Interior and select ""interior stlye""","When I select Interior and select ""interior stlye""",""
"passed","Sun Nov 08 21:41:05 IST 2020","Sun Nov 08 21:41:08 IST 2020","2627","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Then I click on Summary","Then I click on Summary",""
"passed","Sun Nov 08 21:52:24 IST 2020","Sun Nov 08 21:52:27 IST 2020","2789","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""B3 mild hybrid"" Momemtum car style","When I select ""B3 mild hybrid"" Momemtum car style",""
"passed","Sun Nov 08 21:43:29 IST 2020","Sun Nov 08 21:43:31 IST 2020","2559","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I see the header Cars and side navigator","When I see the header Cars and side navigator",""
"passed","Sun Nov 08 21:40:07 IST 2020","Sun Nov 08 21:40:18 IST 2020","11292","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:52:48 IST 2020","Sun Nov 08 21:52:50 IST 2020","2551","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Optional Equipment as Four-zone climate system","When I select Optional Equipment as Four-zone climate system",""
"passed","Sun Nov 08 21:43:42 IST 2020","Sun Nov 08 21:43:47 IST 2020","4982","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Momentum"" car style","When I select ""Momentum"" car style",""
"passed","Sun Nov 08 21:52:01 IST 2020","Sun Nov 08 21:52:01 IST 2020","496","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""Cars"" section should fly out","Then ""Cars"" section should fly out",""
"passed","Sun Nov 08 21:51:33 IST 2020","Sun Nov 08 21:51:58 IST 2020","25183","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:52:00 IST 2020","Sun Nov 08 21:52:02 IST 2020","1944","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I click on ""Cars""","When I click on ""Cars""",""
